Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,Category,About Us,Products and Services
Health and Allied Health,Dental Assistant,Farmer Cameron Dr,https://www.yellowpages.com.au/vic/mt-martha/farmer-cameron-dr-12163269-listing.html,(03) 5974 3699,mtmarthadental@gmail.com,http://www.mtmartha.localdentist.com.au,Suite 3 4 Langrigg Ave,Mt Martha,VIC,3934.0,"Suite 3 4 Langrigg Ave, Mt Martha VIC 3934",Dentist,"ABN
50 767 634 474
Established
1993","Keywords
Dentures, Child Dental Benefits Schedule, Dental Crowns, Dental implants, Orthodontics"
Health and Allied Health,Dental Assistant,DRJ Dental Group,https://www.yellowpages.com.au/vic/highett/drj-dental-group-1000002874075-listing.html,(03) 9532 2117,reception@drjdentalgroup.com.au,https://drjdentalgroup.com.au,268 Highett Rd,Highett,VIC,3190.0,"268 Highett Rd, Highett VIC 3190",Dentist,No information available,"Keywords
Dental Implants and Restorative Care, Teeth Whitening and Invisalign Specialists, Family and Emergency Dental Services, Comprehensive Dental Care Sydney, Cosmetic and General Dentistry Australia"
Health and Allied Health,Dental Assistant,Giannellis Dr James R,https://www.yellowpages.com.au/vic/highett/giannellis-dr-james-r-12124221-listing.html,(03) 9532 2117,reception@drjdentalgroup.com.au,https://drjdentalgroup.com.au,268 Highett Rd,Highett,VIC,3190.0,"268 Highett Rd, Highett VIC 3190",Dentist,"ABN
58 521 377 294","Keywords
Dental Implants and Restorative Care, Teeth Whitening and Invisalign Specialists, Family and Emergency Dental Services, Comprehensive Dental Care Sydney, Cosmetic and General Dentistry Australia"
Health and Allied Health,Dental Assistant,Bloom Jason Dr,https://www.yellowpages.com.au/vic/mt-waverley/bloom-jason-dr-13854889-listing.html,(03) 9803 0964,reception@periogold.com.au,http://www.melbourneperiodontist.com.au/our-staff/dr-jason-bloom,312 Blackburn Rd,Mt Waverley,VIC,3149.0,"312 Blackburn Rd, Mt Waverley VIC 3149",Dentist,"Also listed under
Periodontists","Keywords
Periodontics, Receding gums, Loosening teeth, Dental implants, Latest technology"
Health and Allied Health,Dental Assistant,Werribee Dental Clinic,https://www.yellowpages.com.au/vic/werribee/werribee-dental-clinic-11981966-listing.html,(03) 9741 2885,werribeedental@outlook.com,https://www.werribeedental.com.au,84 Cottrell St,Werribee,VIC,3030.0,"84 Cottrell St, Werribee VIC 3030",Dentist,"Payment Methods
Cash
Cheques
Direct Debit
EFTPOS
HICAPS
Mastercard
Visa
Established
1986","Hours of Operation
Open Evenings By Appointment
Product
Bleaches, Braces, Brackets, Dental Flosses, Expansion Appliances, Mouthguards, Mouthwashes, Prostheses, Toothpastes
Dental Concern
Abscess, Chipped Teeth, Cracked Teeth, Crowded Teeth, Dead Teeth, Dental Pulp, Discoloured Teeth, Dry Mouth, Gum Diseases, Halitosis, Headaches, Infections, Inflammation, Lumps, Nerves, Oral Cancer, Pressure, Snoring, Stains, Swellings, Teeth Grinding, Temporomandibular Disorders, TMJ Problems, Tooth Decay, Tooth Sensitivity, Traumatic Injuries, Wisdom Teeth
Services
Anaesthetics, Bite Correction, Caps, Composite Fillings, Computer Imaging, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, Gum Treatments, Inlays, Occlusal Splints, Onlays, Pain Management, Porcelain Veneers, Prosthetics, Restorations, Root Canal Treatments, Sealants, Smile Makeovers, Straightening, Tartar Control, Teeth Cleaning, Teeth Whitening, X-rays
Brand
Colgate, Invisalign, Nobel Biocare, Oral-B, Sensodyne, Straumann
Offering
Department of Veterans' Affairs, Digital X-Ray, High Tech Laser, Intra-oral Camera, Lasers, Parking
Features
Bonded, By Appointment, Examinations
Catering To
Adults, Children, Cosmetic Dentistry, Dentofacial Orthopaedics, Endodontics, Family, General Dentistry, Oral Radiology, Orthodontics, Periodontics, Prosthodontics, Rehabilitation, Sports Dentistry, Teenagers"
Health and Allied Health,Dental Assistant,Ward Jeff Dr,https://www.yellowpages.com.au/vic/melbourne/ward-jeff-dr-12852069-listing.html,(03) 9650 4209,reception@endodonticassociates.com.au,http://endodonticassociates.com.au,Level 11 / 20 Collins St,Melbourne,VIC,3000.0,"Level 11 / 20 Collins St, Melbourne VIC 3000",Dentist,"ABN
87 433 806 343
Staff
1-10
Established
2002","Services
Anaesthetics, Fillings
Offering
Microscopes
Catering To
Endodontics, Orthodontics
Features
Registered"
Health and Allied Health,Dental Assistant,Dr Richard D. Skinner,https://www.yellowpages.com.au/vic/melbourne/dr-richard-d-skinner-12950894-listing.html,(03) 9662 1505,enquiries@dentistskinner.com.au,http://www.dentistskinner.com.au,Suite 2 Level 9 15 Collins St,Melbourne,VIC,3000.0,"Suite 2 Level 9 15 Collins St, Melbourne VIC 3000",Dentist,"Payment Methods
American Express
Cash
EFT
EFTPOS
HICAPS
Mastercard
Visa
ABN
60 864 182 976
Also trades as
Dentist on Collins
Legal ID
Over 30 years of experience","Hours of Operation
Open Monday - Friday
Product
Mouthguards, Toothpastes
Dental Concern
Abscess, Cracked Teeth, Dead Teeth, Dental Pulp, Dry Mouth, Halitosis, Infections, Inflammation, Pressure, Stains, Teeth Grinding, Tooth Decay, Tooth Sensitivity, Wisdom Teeth
Services
Abrasion, Amalgam Removal, Anaesthetics, Bite Correction, Bone Regeneration, Caps, Composite Fillings, Dental Bridges, Dental Crowns, Dental Extractions, Dental Implants, Dentures, Fillings, General Anaesthetic, Gum Treatments, Inlays, Occlusal Splints, Onlays, Pain Management, Porcelain Veneers, Reconstructions, Relines, Restorations, Root Canal Surgery, Root Canal Treatments, Sealants, Smile Makeovers, Tartar Control, Teeth Cleaning, X-rays
Brand
Colgate, Nobel Biocare, Zoom
Offering
Department of Veterans' Affairs, Microscopes, OPG X-Ray, Parking
Features
Accredited, Bonded, By Appointment, Consultations, Examinations, Medicare, Owner Operated, Registered, Veterans Affairs Card Holders
Catering To
Adults, Children, Cosmetic Dentistry, Endodontics, Family, General Dentistry, Oral Pathology, Orthodontics, Rehabilitation, Teenagers"
Health and Allied Health,Dental Assistant,Kendler J Dr,https://www.yellowpages.com.au/vic/richmond/kendler-j-dr-13026258-listing.html,(03) 9428 6587,churchstdental@outlook.com,https://johnkendler.com,1/ 84 Church St,Richmond,VIC,3121.0,"1/ 84 Church St, Richmond VIC 3121",Dentist,"ABN
51 745 226 336",No information available
Health and Allied Health,Dental Assistant,HS Dental Group,https://www.yellowpages.com.au/vic/hawthorn-east/hs-dental-group-1000002114374-listing.html,(03) 9813 1966,hsdentalgroupmel@gmail.com,http://www.hsdentalgroup.com.au,57 Harold St,Hawthorn East,VIC,3123.0,"57 Harold St, Hawthorn East VIC 3123",Dentist,No information available,"Dental Concern
Chipped Teeth, Cracked Teeth, Tooth Decay
Services
Dental Extractions, Dental Implants, Fillings, Porcelain Veneers, Replacements, Restorations, Root Canal Treatments, Teeth Cleaning, Teeth Whitening
Catering To
Adults, Children, Cosmetic Dentistry, Family, General Dentistry, Oral Surgeons
Hours of Operation
Open Monday - Friday"
Health and Allied Health,Dental Assistant,Dr. Damon Lits & Associates,https://www.yellowpages.com.au/vic/elsternwick/dr-damon-lits-associates-13758868-listing.html,(03) 9532 8011,litstramer@bigpond.com,https://www.elsternwickdentists.com.au,557 Glenhuntley Rd,Elsternwick,VIC,3185.0,"557 Glenhuntley Rd, Elsternwick VIC 3185",Dentist,No information available,No information available
