Industry,Job Title,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,About Us,Products and Services
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Defining Events,https://www.yellowpages.com.au/vic/mordialloc/defining-events-1000000741070-listing.html,0439 804 917,melkeenan@definingevents.com.au,http://www.definingevents.com.au,19 Purtell Cl,Mordialloc,VIC,3195.0,"19 Purtell Cl, Mordialloc VIC 3195",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Condor Corporate Leisure,https://www.yellowpages.com.au/vic/essendon/condor-corporate-leisure-15729281-listing.html,0401 033 094,,http://www.condorcorp.com.au,PO Box 514,Essendon,VIC,3040.0,"PO Box 514, Essendon VIC 3040","ABN
74 741 270 577
Established
2001",No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,PlanIt Event Group,https://www.yellowpages.com.au/vic/melbourne/planit-event-group-1000001941553-listing.html,0498 976 863,info@planiteventgroup.com.au,http://www.planiteventgroup.com.au,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Freeee,https://www.yellowpages.com.au/vic/melbourne/freeee-1000002116281-listing.html,0401 498 864,,http://www.freeee.com.au,,Melbourne,VIC,3000,Melbourne VIC 3000,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Australian National Exhibitions Pty Ltd,https://www.yellowpages.com.au/vic/melbourne/australian-national-exhibitions-pty-ltd-1000001959061-listing.html,0401 975 504,info@ausnatexpos.com,http://www.ausnatexpos.com,520 Bourke St,Melbourne,VIC,3000.0,"520 Bourke St, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Kizkaz,https://www.yellowpages.com.au/vic/melbourne/kizkaz-1000000564059-listing.html,0401 619 530,hello@kizkaz.com,http://www.kizkaz.com,Level 4 20 Queen St,Melbourne,VIC,3000.0,"Level 4 20 Queen St, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Sovereign Events,https://www.yellowpages.com.au/vic/melbourne/sovereign-events-14810127-listing.html,(03) 9909 7458,info@sovereigneventplanners.com.au,http://www.sovereigneventplanners.com.au,Suite 810 530 Little Collins St,Melbourne,VIC,3000.0,"Suite 810 530 Little Collins St, Melbourne VIC 3000",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Margaret Collier Celebrancy,https://www.yellowpages.com.au/vic/docklands/margaret-collier-celebrancy-1000002185481-listing.html,0447 115 121,,http://margaretcolliercelebrant.com.au,80 Lorimer St,Docklands,VIC,3008.0,"80 Lorimer St, Docklands VIC 3008",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,IF Events Pty Ltd,https://www.yellowpages.com.au/vic/south-melbourne/if-events-pty-ltd-1000000756623-listing.html,1300 940 782,enquiries@ifevents.com.au,http://www.ifevents.com.au,Level 1 150 Gladstone St,South Melbourne,VIC,3205.0,"Level 1 150 Gladstone St, South Melbourne VIC 3205",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Cox Marketing Solutions,https://www.yellowpages.com.au/vic/cremorne/cox-marketing-solutions-14676126-listing.html,(03) 9686 1186,,http://www.coxmarketing.com.au,Level 3 105-115 Dover St,Cremorne,VIC,3121.0,"Level 3 105-115 Dover St, Cremorne VIC 3121",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,VERTA events,https://www.yellowpages.com.au/vic/abbotsford/verta-events-1000002884608-listing.html,0499 403 733,,https://www.vertaevents.com.au,,Abbotsford,VIC,3067,Abbotsford VIC 3067,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Kojo Productions Pty Ltd,https://www.yellowpages.com.au/vic/cremorne/kojo-productions-pty-ltd-15729326-listing.html,(03) 9815 7700,,http://www.kojo.com.au,15 Newton St,Cremorne,VIC,3121.0,"15 Newton St, Cremorne VIC 3121",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,The Recruitment Events Co. Australia & New Zealand,https://www.yellowpages.com.au/vic/fitzroy-north/the-recruitment-events-co-australia-new-zealand-1000002342865-listing.html,0474 182 148,,http://www.recruitmentevents.com.au,155 Scotchmer St,Fitzroy North,VIC,3068.0,"155 Scotchmer St, Fitzroy North VIC 3068",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Audiopod VIC,https://www.yellowpages.com.au/vic/st-kilda-west/audiopod-vic-15664546-listing.html,0414 147 437,vic@audiopod.com.au,http://www.audiopod.com.au,,St Kilda West,VIC,3182,St Kilda West VIC 3182,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,360 Cube,https://www.yellowpages.com.au/vic/st-kilda/360-cube-1000001867965-listing.html,0412 413 061,david@dwa.net.au,http://www.dwa.net.au,83/ 87 Wellington St,St Kilda,VIC,3182.0,"83/ 87 Wellington St, St Kilda VIC 3182",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Explosive Media Pty Ltd,https://www.yellowpages.com.au/vic/elwood/explosive-media-pty-ltd-12078101-listing.html,(03) 9525 6555,events@explosivemedia.com.au,http://www.explosivemedia.com.au,PO Box 72,Elwood,VIC,3184.0,"PO Box 72, Elwood VIC 3184",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Northcote Receptions,https://www.yellowpages.com.au/vic/northcote/northcote-receptions-1000000757007-listing.html,0430 430 699,angelo.gotti62@gmail.com,,417 High St,Northcote,VIC,3070.0,"417 High St, Northcote VIC 3070",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Event Logistics,https://www.yellowpages.com.au/vic/balaclava/event-logistics-12352594-listing.html,(03) 9531 2587,,http://www.eventlogistics.com.au,14 Grosvenor St,Balaclava,VIC,3183.0,"14 Grosvenor St, Balaclava VIC 3183",No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Hen Parties Melbourne,https://www.yellowpages.com.au/vic/st-kilda-east/hen-parties-melbourne-1000000763431-listing.html,0468 782 552,info@henpartiesmelbourne.com,http://www.henpartiesmelbourne.com,,St Kilda East,VIC,3183,St Kilda East VIC 3183,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,Le Grazer,https://www.yellowpages.com.au/vic/oak-park/le-grazer-1000002043880-listing.html,0448 283 695,info@le-grazer.com,http://www.le-grazer.com,,Oak Park,VIC,3046,Oak Park VIC 3046,No information available,No information available
Hospital Equipment and Furniture Services,Internship - Event Coordinator,JCRC Events & Styling,https://www.yellowpages.com.au/vic/chadstone/jcrc-events-styling-1000000762947-listing.html,0432 766 903,info@jcrcevents.com,http://www.jcrcevents.com,2 Rosemary St,Chadstone,VIC,3148.0,"2 Rosemary St, Chadstone VIC 3148",No information available,No information available
