Category,Sub-category,Suggested Keyword,Business Name,Link,Phone,Email,Website,Street,Suburb,State,Postcode,Full Location,About Us,Products and Services
Retail_Market,Shift_Supervisor,Retail Stores,IGA Elmore Plus Liqour,https://www.yellowpages.com.au/vic/elmore/iga-elmore-plus-liqour-13555831-listing.html,(03) 5432 6034,elmoreiga@outlook.com,,72-76 Railway Pl,Elmore,VIC,3558.0,"72-76 Railway Pl, Elmore VIC 3558","Payment Methods
Cash
EFT
EFTPOS
Mastercard
Visa
ABN
98 600 397 742
ACN
600 397 742
Established
2010
Also trades as
Elmore Iga","Features
Australian Operated, Australian Owned, Delivery, Family Owned, Free Delivery, Guaranteed, Independently Operated, Independently Owned, Locally Operated, Locally Owned
Offering
Barbecue Chickens, Beers, Bread, Breads, Cereals, Chutneys, Eggs, Frozen, Fruit, Groceries, Herbs, Honey, Nuts, Olive Oil, Pastes, Pickles, Sauces, Special Offers, Spices, Tea, Utensils, Vegetables, Wines
Hours of Operation
Open 7 Days, Open Late"
Retail_Market,Shift_Supervisor,Retail Stores,Messer & Opie,https://www.yellowpages.com.au/vic/ballarat/messer-opie-12863881-listing.html,(03) 5331 1811,info@messerandopie.com,http://messerandopie.com,17-19 Bridge Mall,Ballarat,VIC,3350.0,"17-19 Bridge Mall, Ballarat VIC 3350",No information available,No information available
Retail_Market,Shift_Supervisor,Retail Stores,Lana Berg,https://www.yellowpages.com.au/vic/south-melbourne/lana-berg-11847675-listing.html,(03) 9690 8702,lanaberg@lanaberg.com,http://www.lanaberg.com,346 Clarendon St,South Melbourne,VIC,3205.0,"346 Clarendon St, South Melbourne VIC 3205","Established
2003",No information available
Retail_Market,Shift_Supervisor,Retail Stores,Mensland,https://www.yellowpages.com.au/vic/richmond/mensland-14066186-listing.html,(03) 9254 0100,menslandstore@arl.com,http://www.mensland.com.au,Head Office 169 Burnley St,Richmond,VIC,3121.0,"Head Office 169 Burnley St, Richmond VIC 3121","ABN
42 004 520 030
Established
1969",No information available
Retail_Market,Shift_Supervisor,Retail Stores,Banyan Tree Furniture Co The,https://www.yellowpages.com.au/vic/camberwell/banyan-tree-furniture-co-the-13122240-listing.html,(03) 9809 4955,camberwell@thebanyantree.com.au,http://www.thebanyantree.com.au,1359 Toorak Rd,Camberwell,VIC,3124.0,"1359 Toorak Rd, Camberwell VIC 3124","Established
1990",No information available
Retail_Market,Shift_Supervisor,Retail Stores,Berkowitz Furniture,https://www.yellowpages.com.au/vic/knoxfield/berkowitz-furniture-14311484-listing.html,(03) 9763 9977,office@berkowitz.com.au,http://www.berkowitz.com.au,79 Rushdale St,Knoxfield,VIC,3180.0,"79 Rushdale St, Knoxfield VIC 3180","Established
1949",No information available
Retail_Market,Shift_Supervisor,Retail Stores,Graeme Booth,https://www.yellowpages.com.au/vic/beaconsfield/graeme-booth-12056332-listing.html,(03) 9769 9093,graeme.booth@noone.com.au,http://www.noone.com.au/graeme-booth,Shop 4 Beaconsfield Hub 48- 62 Old Princes Hwy,Beaconsfield,VIC,3807.0,"Shop 4 Beaconsfield Hub 48- 62 Old Princes Hwy, Beaconsfield VIC 3807","ABN
77 004 597 719
Established
1947",No information available
Retail_Market,Shift_Supervisor,Retail Stores,Browse Fashions For Men,https://www.yellowpages.com.au/vic/geelong-west/browse-fashions-for-men-14531078-listing.html,(03) 5223 2052,,http://www.browsefashions.com.au,Shop 8/ 111 Pakington St,Geelong West,VIC,3218.0,"Shop 8/ 111 Pakington St, Geelong West VIC 3218","ABN
46 071 337 098
Staff
1-10","Product
Belts, Blazers, Bow Ties, Coats, Cufflinks, Hats, Jackets, Jeans, Pants, Pullovers, Shirts, Socks, Sports Coats, Suits, Ties, Waistcoats
Services
Alterations, Made to Measure
Brand
Abelard, Gant, Ganton, Hugo Boss, Rockport
Offering
Australian Brands, Business Clothing, Casual Wear, Designer Brands, Formal Wear, Imported Brands, National Costumes, Special Occasions, Streetwear
Features
Australian Made, By Appointment, Italian Made"
Retail_Market,Shift_Supervisor,Retail Stores,Endee's Fashion,https://www.yellowpages.com.au/vic/ballarat-central/endees-fashion-15106191-listing.html,(03) 5332 7676,endeesfashion@gmail.com,,27 Bridge Mall,Ballarat Central,VIC,3350.0,"27 Bridge Mall, Ballarat Central VIC 3350","Payment Methods
Cash
EFT
Mastercard
Visa
ABN
48 958 759 365
Staff
1-10","Events
Special Occasions, Spring Racing Carnival, Weddings
Product
Accessories, Bags, Cardigans, Coats, Dresses, Hats, Jackets, Jeans, Jewellery, Jumpers, Knitwear, Leggings, Scarves, Shirts, Skirts, T-shirts, Tops, Vests
Material
Acrylic, Cotton, Denim, Jersey, Linen, Polyester, Silk, Wool
Size
10 - 20, Medium, Small
Offering
Australian Brands, Casual Wear, Daywear, Designer Brands, Fair Trade, Hand Made, Imported Brands, Natural Fibres, Organic, Special Occasion Wear, Vintage
Features
Delivery, Gift Vouchers, Locally Owned, Parking"
Retail_Market,Shift_Supervisor,Retail Stores,Judd's Menswear,https://www.yellowpages.com.au/vic/wangaratta/judds-menswear-13993692-listing.html,(03) 5721 3645,shop@juddsmenswear.com.au,,97 Murphy St,Wangaratta,VIC,3677.0,"97 Murphy St, Wangaratta VIC 3677","Payment Methods
Cash
Direct Debit
EFTPOS
Mastercard
Visa
ABN
68 733 006 077
Staff
1-10
Also trades as
Juss's Menswear & Suit Hire","Hours of Operation
Flexible Hours, Open Monday - Friday
Events
Birthdays, Christenings, Weddings
Product
Bags, Belts, Blazers, Bow Ties, Cardigans, Coats, Cufflinks, Footwear, Gloves, Handkerchieves, Hats, Hoodies, Jackets, Jeans, Knitwear, Leather Jackets, Men's Jewellery, Pants, Polo Shirts, Pullovers, Shirts, Shorts, Singlets, Sleepwear, Socks, Sports Coats, Suits, Sunglasses, Sweats, Swimwear, T-shirts, Ties, Underwear, Waistcoats, Wallets, Watches
Material
Cashmere, Cotton, Denim, Leather, Silk, Wool
Services
Alterations, Made to Measure
Brand
Breakaway, Brooksfield, Gant, Gaz Man, Henleys, Levi's, Lonsdale, Politix, R.M. Williams, Ralph Lauren, Rip Curl
Size
Boys Sizes, Larger Sizes, Small Sizes
Offering
Australian Brands, Business Clothing, Casual Wear, Designer Brands, Ethical Fashion, Fashion, Formal Wear, Imported Brands, Skatewear, Special Occasions, Streetwear, Surfwear, Workwear
Features
Australian Owned, By Appointment, Consultations, Gift Vouchers, Owner Operated"
